python-jupyter_core 4.9.2-1
python-jupyter_packaging 0.12.0-3
python-jupyterlab_server 2.12.0-1
python-keras 2.8.0-1
python-keras-applications 1.0.8-8
python-keras-preprocessing 1.1.2-6
python-lxml 4.8.0-1
python-mako 1.1.6-3
python-markdown 3.3.6-3
python-markupsafe 2.1.1-1
python-matplotlib-inline 0.1.3-3
python-mistune1 0.8.4-4
python-more-itertools 8.12.0-1
python-msgpack 1.0.3-1
python-mypy_extensions 0.4.3-5
python-nest-asyncio 1.5.5-1
python-netifaces 0.11.0-3
python-nodeenv 1.6.0-3
python-numpy 1.22.3-1
python-oauthlib 3.2.0-1
python-opencv 4.5.5-4
python-opt_einsum 3.3.0-5
python-ordered-set 4.0.2-6
python-owslib 0.25.0-1
python-packaging 20.9-7
python-pandas 1.4.2-1
python-pandocfilters 1.5.0-1
python-parso 1:0.8.2-3
python-pasta 0.2.0-6
python-pathspec 0.9.0-3
python-pep517 0.12.0-4
python-pexpect 4.8.0-6
python-pickleshare 0.7.5-8
python-pillow 9.1.0-1
python-pip 21.0-1
python-pipreqs 0.4.11-2
python-platformdirs 2.5.0-1
python-ply 3.11-10
python-pre-commit 2.18.1-1
python-progress 1.6-5
python-prometheus_client 0.14.1-1
python-prompt_toolkit 3.0.28-1
python-protobuf 3.19.4-1
python-psutil 5.9.0-1
python-psycopg2 2.9.3-1
python-ptyprocess 0.7.0-4
python-pure-eval 0.2.2-1
python-pyasn1 0.4.8-7
python-pyasn1-modules 0.2.8-6
python-pycparser 2.21-3
python-pycuda 2021.1-8
python-pycups 2.0.1-5
python-pycurl 7.45.1-1
python-pydot 1.4.2-3
python-pygments 2.11.2-1
python-pyopenssl 22.0.0-1
python-pyparsing 3.0.8-1
python-pyproj 3.0.1-3
python-pyqt5 5.15.6-7
python-pyqt5-sip 12.9.1-1
python-pyrsistent 0.18.1-1
python-pytools 2022.1.2-1
python-pytorch-cuda 1.11.0-2
python-pytz 2022.1-1
python-pyxdg 0.27-4
python-pyzmq 22.3.0-1
python-qscintilla-qt5 2.13.2-1
python-requests 2.27.1-1
python-requests-oauthlib 1.3.1-1
python-requests-unixsocket 0.3.0-1
python-resolvelib 0.5.5-4
python-retrying 1.3.3-13
python-rsa 4.8-3
python-scipy 1.8.0-1
python-send2trash 1.8.0-3
python-setuptools 1:59.4.0-1
python-six 1.16.0-5
python-sniffio 1.2.0-5
python-soupsieve 2.3.1-1
python-stack-data 0.2.0-1
python-tensorboard_plugin_wit 1.8.1-3
python-tensorflow-cuda 2.8.0-4
python-tensorflow-estimator 2.8.0-1
python-termcolor 1.1.0-12
python-terminado 0.13.3-1
python-testpath 0.6.0-1
python-toml 0.10.2-7
python-tomli 2.0.1-1
python-tomlkit 0.10.1-1
python-tornado 6.1.0-5
python-traitlets 5.1.1-1
python-typing_extensions 4.1.0-1
python-urllib3 1.26.9-1
python-virtualenv 20.11.0-1
python-wcwidth 0.2.5-6
python-webencodings 0.5.1-9
python-websocket-client 1.3.2-1
python-werkzeug 2.1.1-1
python-wheel 0.37.1-1
python-wrapt 1.14.0-1
python-yaml 6.0-1
python-yarg 0.1.9-8
